time (s)	det(V)
5396.201267	0.018536	
5396.203026	0.016901	
5396.204511	0.016357	
5396.206283	0.012095	
5396.207768	0.020784	
5396.209538	0.014834	
5396.211025	0.013561	
5396.212746	0.013606	
5396.214259	0.017142	
5396.215970	0.003877	
5396.217508	0.010101	
5396.219230	0.009311	
5396.220764	0.005891	
5396.222458	0.004348	
5396.224013	0.011877	
5396.225684	0.007019	
5396.227252	0.004675	
5396.228919	0.003341	
5396.230510	0.002564	
5396.232139	-0.001847	
5396.233743	-0.003527	
5396.235385	-0.003410	
5396.236989	-0.007245	
5396.238605	-0.009332	
5396.240243	-0.009424	
5396.241818	-0.007708	
5396.243488	-0.015431	
5396.245045	-0.017159	
5396.246743	-0.018536	
5396.248293	-0.021098	
5396.250012	-0.029510	
5396.251558	-0.029505	
5396.253261	-0.033804	
5396.254752	-0.037860	
5396.256300	-0.044386	
5396.257802	-0.038746	
5396.259386	-0.047967	
5396.260905	-0.052100	
5396.262451	-0.056318	
5396.264047	-0.058513	
